name,sharpe,cagr,vol,maxdd,beta_exante,beta_realised,alpha_t,beta_ff6,null_mean,null_p95,null_max,pctile,alpha_t_null_p95,alpha_t_null_max,alpha_t_pctile,gross_expo_mean,gross_expo_max,reg_t_capped_days,long_mean,short_mean,borrow_drag_ann,margin_drag_ann,turnover_ann
dollar-neutral (reproduce),0.7354336699965353,0.11935737886843345,0.17384587240002575,-0.2870068339526619,0.25482399636015296,0.5282058368812093,2.1911249630657514,0.42561178838723274,-0.2764622245643725,0.23356126129571725,0.7379394843874515,99.5,-0.3696536201010175,1.3817739220668608,100.0,1.9979543129901134,2.0000000000000013,0,0.9989771564950567,0.9989771564950567,0.004994885782475286,3.831522363088912e-17,22.33281266105821
beta-neutral (A),0.560329141554554,0.07216574049852653,0.14250298958248542,-0.20386334188539967,0.001058649358638379,0.23186488761951848,1.9566833046091225,0.12560903358831868,-0.29070687194441847,0.2046829562389691,0.7657750976092118,99.0,-0.650636807975161,1.413848075321951,100.0,1.9979543129901118,2.0000000000000018,0,0.8671545922325135,1.1307997207575984,0.005653998603787993,1.1800959966633638e-06,23.47640591512634
beta-orthogonal (B),0.394421157984861,0.03290744403059165,0.09307258882079994,-0.20850083452559232,0.0027302160605942234,0.008279523422630742,0.9353104270491711,-0.005587005039253745,-0.2933930293566359,0.17724213680872217,0.6995762674762647,99.0,-0.6023924311357155,1.2734386915330762,99.0,1.9979543129901112,2.0000000000000013,0,1.0326127554629232,0.9653415575271883,0.004826707787635941,0.0019591737134407546,23.1275212404307
