,reversal_5,mom_12_1,vol_shock,close_in_range,resid_mom_252,mom_252,rel_strength_252,overnight_vs_day
reversal_5,1.0,0.06482303665895955,0.07508483874237347,0.6937549421149606,-0.07216370813996008,-0.05187480472168298,-0.05187480472168298,0.2989957035884075
mom_12_1,0.06482303665895955,1.0,-0.03077223065015276,-0.04053861670016785,0.8793072050888534,0.9695417153517323,0.9695417153517323,0.14913731078705011
vol_shock,0.07508483874237347,-0.03077223065015276,1.0,0.1115685039236939,-0.03625678817695377,-0.06224024984242312,-0.06224024984242312,0.09666452793285113
close_in_range,0.6937549421149606,-0.04053861670016785,0.1115685039236939,1.0,-0.27934618240194864,-0.22747072866721132,-0.22747072866721132,0.5682978282176608
resid_mom_252,-0.07216370813996008,0.8793072050888534,-0.03625678817695377,-0.27934618240194864,1.0,0.9182601494470274,0.9182601494470274,-0.07182166896902886
mom_252,-0.05187480472168298,0.9695417153517323,-0.06224024984242312,-0.22747072866721132,0.9182601494470274,1.0,1.0,0.008778918602209888
rel_strength_252,-0.05187480472168298,0.9695417153517323,-0.06224024984242312,-0.22747072866721132,0.9182601494470274,1.0,1.0,0.008778918602209888
overnight_vs_day,0.2989957035884075,0.14913731078705011,0.09666452793285113,0.5682978282176608,-0.07182166896902886,0.008778918602209888,0.008778918602209888,1.0
