strategy,alpha,t_u,t_c,r2,pct_u,pct_c,sharpe
0 NO-SIGNAL large-cap EW,0.03310816283158656,3.236221683139827,3.588858962589349,0.7501507699639325,92.5,97.5,1.020546350613512
9 rel:rel_strength_126,0.042739972175152914,3.3232443016489066,3.4109550442965837,0.6688259652467496,97.5,92.5,1.0217796058048643
9 net:down_corr_asym,0.037839025001899014,3.3089611032569928,3.3547517236260984,0.6998096198546297,97.5,92.5,1.0606090437950484
1 px:vol_trend,0.035262154551464905,3.0096308312473385,3.185258380739112,0.7185415672142559,67.5,70.0,1.0068391461002022
9 net:corr_dispersion,0.037919250817497176,3.228682994811835,3.1428412373311367,0.6648828872353767,92.5,65.0,1.060109967069258
9 rel:corr_to_univ,0.04119638096808586,3.19738999786843,2.9815341547834313,0.5890877707302316,92.5,62.5,1.1076577766204068
9 net:net_centrality,0.03990845886121999,3.1845007726550367,2.995845886535261,0.6047586204167433,92.5,62.5,1.0858277080665522
9 rel:idio_vol_share,0.041216712582620565,3.199642732971833,2.983730357413882,0.5892427824988375,92.5,62.5,1.1071159282002605
11 filings:jaccard,0.032000655075317255,2.9276599361810827,2.997035294229355,0.7125833562891624,62.5,62.5,0.9892930342553747
1 px:vol_shock,0.033160364080686025,2.879088269371336,2.890158413574313,0.7213644862865356,57.49999999999999,57.49999999999999,0.9974251120598793
1 px:close_in_range,0.03401210054313694,2.8347848313372133,2.8323063856290585,0.6746461082348102,57.49999999999999,55.00000000000001,0.9742407075726331
1 px:skew_126,0.03274068001318363,2.8262830378606627,2.782137379630302,0.6986341867959598,57.49999999999999,50.0,1.0108016304302436
1 px:ma_dist_200,0.03528783495329383,2.6819775729737345,2.6596808566125016,0.6628990826340591,47.5,47.5,0.9381136573727823
1 px:mom_63,0.03512328471316579,2.687142401797455,2.6471981044566424,0.6598722736342999,47.5,45.0,0.9518238807441759
1 px:overnight_vs_day,0.03152265924412296,2.745174446206573,2.627967923309882,0.6857083758385204,50.0,42.5,0.9870181960857184
11 filings:tfidf,0.028503981135276062,2.6309709083264825,2.6159201546062287,0.7130485433852392,40.0,40.0,0.9518735835157831
1 px:garman_klass,0.030716683827708723,2.4289705984208623,2.3707600486255327,0.7153516462470094,22.5,25.0,0.8809936234593421
1 px:low_vol_60,0.030188963305456756,2.3717988800280163,2.3140343679452084,0.7195491756315533,17.5,22.5,0.8823852299041731
9 net:beta_instability,0.026627637884688807,2.2540784571062376,2.089645498678666,0.7167313480662973,10.0,7.5,0.8995026738138225
1 px:resid_mom_252,0.02035313986200492,1.8786891721908867,1.5886031791186288,0.724187528374564,0.0,2.5,0.9104040542275679
1 px:COMPOSITE,0.023817181370379584,1.8563590898682705,1.627369723720906,0.6720212128330731,0.0,2.5,0.8209093105808487
1 px:near_high_252,0.02825181001917976,2.1526200501912154,2.0261346841474843,0.6719889274870606,2.5,2.5,0.8493950638930273
12 pead:car,0.0244085768441004,2.1559484139750604,1.9974654103324354,0.7244570689052777,2.5,2.5,0.9155460832625816
9 rel:beta_to_univ,0.02425330479528543,1.88528933621337,1.6826553963842112,0.7077668067542091,2.5,2.5,0.814323627890516
12 pead:sue,0.019457342487191335,1.7240003263460146,1.4238277227926452,0.7198743995501373,0.0,0.0,0.8826560636474691
9 rel:lead_lag,0.022007815404007255,1.795097543295234,1.4529121025952223,0.6682232958629692,0.0,0.0,0.8767496585963527
1 px:reversal_5,0.02094430255525141,1.7314687647226703,1.4141739278523466,0.663962842754642,0.0,0.0,0.8488515313511824
7 state:own_trend,0.027132140841214382,1.6483684782091805,1.3865689328728659,0.2862185067971139,0.0,0.0,0.8199611566938912
7 state:own_corr,0.01456745313424515,0.930537182310038,0.5476482659477586,0.28855817227920566,0.0,0.0,0.6874597280273141
7 state:own_drawdown,0.014089252542609914,0.8039709183572298,0.4340788713889337,0.2811359833485222,0.0,0.0,0.6458437830033639
7 state:own_vol,0.01670248256176952,1.017423204747872,0.7323215370216487,0.33333975520131287,0.0,0.0,0.743140049769241
4 insider:ins_any_buy,-0.008460408055179808,-0.5782204490740981,-0.8499592737219407,0.27895246281617525,0.0,0.0,0.45729881384424176
1 px:mom_12_1,0.01801051587254344,1.4246885696122986,1.0510735949447285,0.6824042154033805,0.0,0.0,0.7659677560885618
4 insider:ins_buy_share,-0.010640923289634268,-0.7303201373258263,-1.0020651919507115,0.2774313597073276,0.0,0.0,0.4166457723406493
4 insider:ins_net_value,-0.013053835961939153,-0.9046479004814878,-1.1755348350242034,0.27194352221942253,0.0,0.0,0.37874143518733216
3 setup:5d oversold,0.017913033508876897,1.534151612818999,1.1581783602689353,0.6770988189877272,0.0,0.0,0.8350472552153315
3 setup:2sd drop,0.019840552525132553,1.6554656356524802,1.3055208728008578,0.679137829140825,0.0,0.0,0.8625013084972003
1 px:mom_252,0.02103695925471183,1.642926194079358,1.335576478417717,0.6770369351531607,0.0,0.0,0.7910719731840572
4 insider:ins_n_buyers,-0.008752225441231228,-0.5990144171461713,-0.8716892144329437,0.2792731557720902,0.0,0.0,0.4530184693818562
