name,sharpe,cagr,vol,maxdd,beta_exante,beta_realised,alpha_t,beta_ff6,null_mean,null_p95,null_max,pctile,alpha_t_null_p95,alpha_t_null_max,alpha_t_pctile,gross_expo_mean,gross_expo_max,reg_t_capped_days,long_mean,short_mean,borrow_drag_ann,margin_drag_ann,turnover_ann
dollar-neutral (reproduce),0.7354336699965353,0.11935737886843345,0.17384587240002575,-0.2870068339526619,0.25482399636015296,0.5282058368812093,2.1911249630657514,0.42561178838723274,-0.2550701826175984,0.35244324471140026,0.7379394843874515,97.5,-0.1828903622409544,1.3817739220668608,100.0,1.9979543129901134,2.0000000000000013,0,0.9989771564950567,0.9989771564950567,0.004994885782475286,3.831522363088912e-17,22.33281266105821
beta-neutral (A),0.560329141554554,0.07216574049852653,0.14250298958248542,-0.20386334188539967,0.001058649358638379,0.23186488761951848,1.9566833046091225,0.12560903358831868,-0.2687908532280302,0.2550445348770518,0.7657750976092118,97.5,-0.4433510396650123,1.413848075321951,100.0,1.9979543129901118,2.0000000000000018,0,0.8671545922325135,1.1307997207575984,0.005653998603787993,1.1800959966633638e-06,23.47640591512634
beta-orthogonal (B),0.394421157984861,0.03290744403059165,0.09307258882079994,-0.20850083452559232,0.0027302160605942234,0.008279523422630742,0.9353104270491711,-0.005587005039253745,-0.27096944496228137,0.18670916597054982,0.6995762674762647,97.5,-0.6023924311357154,1.1247832124934194,97.5,1.9979543129901112,2.0000000000000013,0,1.0326127554629232,0.9653415575271883,0.004826707787635941,0.0019591737134407546,23.1275212404307
