arm,null_t_mean,null_t_sd,null_t_p95,null_t_max,null_sharpe_mean,n_draws
with vol target,2.6557201507228636,0.39659431601117145,3.3795593073056476,3.5664243733803365,0.9690622743978287,200
no overlay,2.9368255467081066,0.5982900962048643,3.820491500459925,4.814909551037261,0.8228757246323812,200
